tourney,id,winner_name,wins
Canada Masters 1990,6,Albert Portas,0
Canada Masters 1990,6,Andrei Pavel,0
Canada Masters 1990,6,Tommy Haas,0
Canada Masters 1990,6,Sebastien Grosjean,0
Canada Masters 1990,6,Lleyton Hewitt,0
Canada Masters 1990,6,Roger Federer,0
Canada Masters 1990,6,Guillermo Canas,0
Canada Masters 1990,6,Felix Mantilla,0
Canada Masters 1990,6,Guillermo Coria,0
Canada Masters 1990,6,Andy Roddick,0
Canada Masters 1990,6,Tim Henman,0
Canada Masters 1990,6,Rafael Nadal,0
Canada Masters 1990,6,Tomas Berdych,0
Canada Masters 1990,6,Tommy Robredo,0
Canada Masters 1990,6,Nikolay Davydenko,0
Canada Masters 1990,6,Novak Djokovic,0
Canada Masters 1990,6,David Nalbandian,0
Canada Masters 1990,6,Andy Murray,0
Canada Masters 1990,6,Jo-Wilfried Tsonga,0
Canada Masters 1990,6,Ivan Ljubicic,0
Canada Masters 1990,6,Robin Soderling,0
Canada Masters 1990,6,David Ferrer,0
Canada Masters 1990,6,Stan Wawrinka,0
Canada Masters 1990,6,Marin Cilic,0
Canada Masters 1990,6,Alexander Zverev,0
Canada Masters 1990,6,Grigor Dimitrov,0
Canada Masters 1990,6,Jack Sock,0
Canada Masters 1990,6,Juan Martin del Potro,0
Canada Masters 1990,6,John Isner,0
Canada Masters 1990,6,Karen Khachanov,0
Canada Masters 1990,6,Dominic Thiem,0
Canada Masters 1990,6,Fabio Fognini,0
Canada Masters 1990,6,Daniil Medvedev,0
Canada Masters 1990,6,Hubert Hurkacz,0
Cincinnati Masters 1990,7,Stefan Edberg,2
Cincinnati Masters 1990,7,Andre Agassi,1
Cincinnati Masters 1990,7,Andrei Chesnokov,1
Cincinnati Masters 1990,7,Juan Aguilera,1
Cincinnati Masters 1990,7,Thomas Muster,1
Cincinnati Masters 1990,7,Michael Chang,1
Cincinnati Masters 1990,7,Boris Becker,0
Cincinnati Masters 1990,7,Jim Courier,0
Cincinnati Masters 1990,7,Sergi Bruguera,0
Cincinnati Masters 1990,7,Karel Novacek,0
Cincinnati Masters 1990,7,Emilio Sanchez,0
Cincinnati Masters 1990,7,Guy Forget,0
Cincinnati Masters 1990,7,Pete Sampras,0
Cincinnati Masters 1990,7,Goran Ivanisevic,0
Cincinnati Masters 1990,7,Michael Stich,0
Cincinnati Masters 1990,7,Mikael Pernfors,0
Cincinnati Masters 1990,7,Andrei Medvedev,0
Cincinnati Masters 1990,7,Roberto Carretero,0
Cincinnati Masters 1990,7,Wayne Ferreira,0
Cincinnati Masters 1990,7,Thomas Enqvist,0
Cincinnati Masters 1990,7,Marcelo Rios,0
Cincinnati Masters 1990,7,Alex Corretja,0
Cincinnati Masters 1990,7,Chris Woodruff,0
Cincinnati Masters 1990,7,Petr Korda,0
Cincinnati Masters 1990,7,Carlos Moya,0
Cincinnati Masters 1990,7,Albert Costa,0
Cincinnati Masters 1990,7,Patrick Rafter,0
Cincinnati Masters 1990,7,Richard Krajicek,0
Cincinnati Masters 1990,7,Greg Rusedski,0
Cincinnati Masters 1990,7,Mark Philippoussis,0
Cincinnati Masters 1990,7,Gustavo Kuerten,0
Cincinnati Masters 1990,7,Thomas Johansson,0
Cincinnati Masters 1990,7,Cedric Pioline,0
Cincinnati Masters 1990,7,Magnus Norman,0
Cincinnati Masters 1990,7,Marat Safin,0
Cincinnati Masters 1990,7,Juan Carlos Ferrero,0
Cincinnati Masters 1990,7,Albert Portas,0
Cincinnati Masters 1990,7,Andrei Pavel,0
Cincinnati Masters 1990,7,Tommy Haas,0
Cincinnati Masters 1990,7,Sebastien Grosjean,0
Cincinnati Masters 1990,7,Lleyton Hewitt,0
Cincinnati Masters 1990,7,Roger Federer,0
Cincinnati Masters 1990,7,Guillermo Canas,0
Cincinnati Masters 1990,7,Felix Mantilla,0
Cincinnati Masters 1990,7,Guillermo Coria,0
Cincinnati Masters 1990,7,Andy Roddick,0
Cincinnati Masters 1990,7,Tim Henman,0
Cincinnati Masters 1990,7,Rafael Nadal,0
Cincinnati Masters 1990,7,Tomas Berdych,0
Cincinnati Masters 1990,7,Tommy Robredo,0
Cincinnati Masters 1990,7,Nikolay Davydenko,0
Cincinnati Masters 1990,7,Novak Djokovic,0
Cincinnati Masters 1990,7,David Nalbandian,0
Cincinnati Masters 1990,7,Andy Murray,0
Cincinnati Masters 1990,7,Jo-Wilfried Tsonga,0
