year,id,winner_name,wins,rank,wins_lbl
Hamburg Masters 1992,22,Emilio Sanchez,1,12, 1
Hamburg Masters 1992,22,Guy Forget,2,7, 2
Hamburg Masters 1992,22,Pete Sampras,0,13, 0
Hamburg Masters 1992,22,Goran Ivanisevic,0,14, 0
Hamburg Masters 1992,22,Michael Stich,0,15, 0
Rome Masters 1992,23,Stefan Edberg,4,1, 4
Rome Masters 1992,23,Andre Agassi,1,8, 1
Rome Masters 1992,23,Andrei Chesnokov,2,4, 2
Rome Masters 1992,23,Juan Aguilera,1,9, 1
Rome Masters 1992,23,Thomas Muster,2,5, 2
Rome Masters 1992,23,Michael Chang,3,2, 3
Rome Masters 1992,23,Boris Becker,2,6, 2
Rome Masters 1992,23,Jim Courier,3,3, 3
Rome Masters 1992,23,Sergi Bruguera,1,10, 1
Rome Masters 1992,23,Karel Novacek,1,11, 1
Rome Masters 1992,23,Emilio Sanchez,1,12, 1
Rome Masters 1992,23,Guy Forget,2,7, 2
Rome Masters 1992,23,Pete Sampras,0,13, 0
Rome Masters 1992,23,Goran Ivanisevic,0,14, 0
Rome Masters 1992,23,Michael Stich,0,15, 0
Canada Masters 1992,24,Stefan Edberg,4,1, 4
Canada Masters 1992,24,Andre Agassi,2,4, 2
Canada Masters 1992,24,Andrei Chesnokov,2,5, 2
Canada Masters 1992,24,Juan Aguilera,1,9, 1
Canada Masters 1992,24,Thomas Muster,2,6, 2
Canada Masters 1992,24,Michael Chang,3,2, 3
Canada Masters 1992,24,Boris Becker,2,7, 2
Canada Masters 1992,24,Jim Courier,3,3, 3
Canada Masters 1992,24,Sergi Bruguera,1,10, 1
Canada Masters 1992,24,Karel Novacek,1,11, 1
Canada Masters 1992,24,Emilio Sanchez,1,12, 1
Canada Masters 1992,24,Guy Forget,2,8, 2
Canada Masters 1992,24,Pete Sampras,0,13, 0
Canada Masters 1992,24,Goran Ivanisevic,0,14, 0
Canada Masters 1992,24,Michael Stich,0,15, 0
Cincinnati Masters 1992,25,Stefan Edberg,4,1, 4
Cincinnati Masters 1992,25,Andre Agassi,2,4, 2
Cincinnati Masters 1992,25,Andrei Chesnokov,2,5, 2
Cincinnati Masters 1992,25,Juan Aguilera,1,9, 1
Cincinnati Masters 1992,25,Thomas Muster,2,6, 2
Cincinnati Masters 1992,25,Michael Chang,3,2, 3
Cincinnati Masters 1992,25,Boris Becker,2,7, 2
Cincinnati Masters 1992,25,Jim Courier,3,3, 3
Cincinnati Masters 1992,25,Sergi Bruguera,1,10, 1
Cincinnati Masters 1992,25,Karel Novacek,1,11, 1
Cincinnati Masters 1992,25,Emilio Sanchez,1,12, 1
Cincinnati Masters 1992,25,Guy Forget,2,8, 2
Cincinnati Masters 1992,25,Pete Sampras,1,13, 1
Cincinnati Masters 1992,25,Goran Ivanisevic,0,14, 0
Cincinnati Masters 1992,25,Michael Stich,0,15, 0
Stockholm Masters 1992,26,Stefan Edberg,4,1, 4
Stockholm Masters 1992,26,Andre Agassi,2,4, 2
Stockholm Masters 1992,26,Andrei Chesnokov,2,5, 2
Stockholm Masters 1992,26,Juan Aguilera,1,9, 1
Stockholm Masters 1992,26,Thomas Muster,2,6, 2
Stockholm Masters 1992,26,Michael Chang,3,2, 3
Stockholm Masters 1992,26,Boris Becker,2,7, 2
Stockholm Masters 1992,26,Jim Courier,3,3, 3
